Region,Region_Name,COUNT,AREA_M2,AREA_Acres,AREA_HA,MIN,MAX,RANGE,MEAN,STD,Shape_Area M2
Forest Service Admin Areas,Hiawatha National Forest,5624334,5061900600,1250820.948,506190.06,5.362171,9.286338,3.924167,7.203409,0.559735,5257791263
Forest Service Admin Areas,Hoosier National Forest,2908756,2617880400,646891.3362,261788.04,9.654676,13.511873,3.857197,11.398525,0.696239,2617898936
Forest Service Admin Areas,Huron-Manistee National Forest,9053900,8148510000,2013537.564,814851,7.646754,15.05548,7.408726,9.152298,0.557976,8207866260
Forest Service Admin Areas,Land Between the Lakes National Recreation Area,483787,435408300,107591.568,43540.83,8.809209,10.508013,1.698804,9.922946,0.360608,693184850
Forest Service Admin Areas,Midewin National Tallgrass Prairie,123951,111555900,27566.02067,11155.59,11.15102,12.54792,1.3969,11.993845,0.577736,111555878
Forest Service Admin Areas,Monongahela National Forest,7660639,6894575100,1703683.98,689457.51,6.242054,9.793089,3.551034,8.130166,0.817251,6894554207
Forest Service Admin Areas,Ottawa National Forest,7015361,6313824900,1560177.702,631382.49,5.688998,9.437659,3.748661,7.774167,0.654324,6324406706
Forest Service Admin Areas,Shawnee National Forest,4179329,3761396100,929459.7833,376139.61,8.577773,11.087494,2.509721,9.78668,0.39618,3763693518
Forest Service Admin Areas,Superior National Forest,17253597,15528237300,3837105.078,1552823.73,3.926286,7.514642,3.588356,6.077357,0.688041,15733793672
Forest Service Admin Areas,Wayne National Forest,3849708,3464737200,856153.8858,346473.72,8.449718,10.459133,2.009416,9.515311,0.37813,3464759940
Forest Service Admin Areas,White Mountain National Forest,4238765,3814888500,942678.0228,381488.85,4.272053,7.804294,3.532241,5.691558,0.684777,3814865893
Forest Service Wilderness Areas,Allegheny Islands Wilderness,1678,1510200,373.177971,151.02,8.835557,9.068229,0.232672,8.950988,0.094844,1504465
